ID,Finding,Severity,Category,OWASP,File,Introduced,Status,Fixed In,Notes
C-1,API key hardcoded in wrangler.toml,Critical,Secrets Management,A02:2021 – Cryptographic Failures,wrangler.toml,v1,Fixed,v2,PROJECTHUB_API_KEY committed in plain text
C-2,Unauthenticated membership invite endpoint,Critical,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/membership-invite.ts,v1,Fixed,v2,Any caller could trigger Hub API invitations with no auth
C-3,Unverified webhook triggers privileged invite,Critical,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/qgiv-webhook.ts,v1,Fixed,v2,No secret verification before processing donations
N-1,Webhook secret exposed in URL query param,Critical,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,src/pages/api/qgiv-webhook.ts,v2,Fixed,v3,v2 fix used ?secret=TOKEN — logged by Cloudflare/proxy access logs. Moved to X-Webhook-Secret header
N-2,Timing attack on token comparison,High,Cryptographic Failure,A02:2021 – Cryptographic Failures,src/pages/api/membership-invite.ts,v2,Fixed,v3,!== operator used for secret comparison — replaced with timingSafeEqual
H-1,Secret key logged to browser console,High,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,src/store/api.ts,v1,Fixed,v3,console.log("PUBLIC_SECRET_KEY:", SECRET_KEY) in client-side code
H-2,Full donor PII payload echoed in HTTP response,High,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,src/pages/api/qgiv-webhook.ts,v1,Fixed,v4,Raw payload including donor email returned in webhook response body
H-3,Middleware cached POST/API responses as public,High,Security Misconfiguration,A05:2021 – Security Misconfiguration,src/middleware/index.ts,v1,Fixed,v3,Cache-Control set to public max-age=600 for all responses including API
H-4,No rate limiting on any endpoint,High,Insecure Design,A04:2021 – Insecure Design,All src/pages/api/* endpoints,v1,Fixed,v6,Cloudflare WAF rate limiting rules applied and confirmed live (HTTP 429 verified)
H-5,Wildcard CORS on all endpoints including write endpoints,High,Security Misconfiguration,A05:2021 – Security Misconfiguration,Multiple API routes,v1,Fixed,v3,Access-Control-Allow-Origin: * on POST endpoints removed
N-3,membership-invite proxied arbitrary body fields to Hub API,Medium,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/membership-invite.ts,v2,Fixed,v3,Only whitelisted fields (email/type/paymentReference) now forwarded
M-1,No CSRF/Origin check on form submission endpoints,Medium,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/endorsement-request.ts; src/pages/api/e4p-pledge-sign.ts,v1,Fixed,v4,Origin header check added — returns 403 for non-techforpalestine.org origins
M-2,No input format or length validation on forms,Medium,Injection,A03:2021 – Injection,src/pages/api/endorsement-request.ts; src/pages/api/e4p-pledge-sign.ts,v1,Fixed,v4,Email regex; URL via new URL(); 2000 char limit on all text fields
M-3,getEnv globalThis fallback allowed client-side secret resolution,Medium,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,src/utils/getEnv.ts,v1,Fixed,v3,globalThis[name] fallback resolved to window[name] in browser context
M-4,Donor PII (full email) written to server logs,Medium,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,src/pages/api/qgiv-webhook.ts,v1,Fixed,v4,All log calls now redact to [redacted]@domain.com
M-5,Internal error.message leaked in HTTP response bodies,Medium,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,Multiple API routes,v1,Fixed,v3,catch blocks returned raw error messages to clients
M-6,Dual middleware files — cache-control layer was dead code,Medium,Security Misconfiguration,A05:2021 – Security Misconfiguration,src/middleware.ts; src/middleware/index.ts,v5,Fixed,v6,Astro loaded src/middleware.ts only — index.ts never ran. Refactored to sequence(cacheControl csp) with separate files
R-1,PUBLIC_SECRET_KEY in client-side Axios Authorization header bundle,Medium,Sensitive Data Exposure,A02:2021 – Cryptographic Failures,src/store/api.ts,v3,Fixed,v4,Secret was bundled into browser JS via Axios instance headers. Replaced with server-side proxy
R-2,CSP script-src used 'unsafe-inline' defeating XSS protection,Medium,Security Misconfiguration,A05:2021 – Security Misconfiguration,public/_headers,v3,Fixed,v4,Per-request nonce via crypto.randomUUID() + HTMLRewriter + strict-dynamic
P-1,project-proxy forwarded Authorization to any upstream path,Medium,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/project-proxy.ts,v4,Fixed,v5,Only leading / was checked — any upstream endpoint reachable with auth. Path now must start with /api/method/
P-2,project-proxy dot-segment traversal bypassed /api/method/ prefix check,Medium,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/project-proxy.ts,v5,Fixed,v6,/api/method/../../admin passed prefix check but fetch() normalised to /admin. Fixed with new URL() normalisation before guard
L-1,Notion DB IDs committed in wrangler.toml,Low,Secrets Management,A02:2021 – Cryptographic Failures,wrangler.toml,v1,Fixed,v3,Database IDs moved to Cloudflare Pages dashboard environment variables
L-2,QGiv embed script loaded without Subresource Integrity hash,Low,Software Integrity,A08:2021 – Software and Data Integrity Failures,src/components/MembershipPage.tsx,v1,Open,,No integrity attribute on dynamically injected script tag — supply chain risk
L-3,Notion image proxy worker had no authentication,Low,Broken Access Control,A01:2021 – Broken Access Control,cloudflare-worker/worker.js,v1,Fixed,v6,Worker removed entirely in PR #415 — finding closed
L-4,style-src 'unsafe-inline' in CSP remained after script-src was nonce-protected,Low,Security Misconfiguration,A05:2021 – Security Misconfiguration,src/middleware/csp.ts,v4,Fixed,v6,Nonce applied to style-src; HTMLRewriter extended to inject nonce into <style> tags
L-5,project-proxy forwarded all browser request headers to upstream including Cookie and X-Forwarded-For,Low,Broken Access Control,A01:2021 – Broken Access Control,src/pages/api/project-proxy.ts,v5,Fixed,v6,Replaced header copy-all with explicit FORWARD_HEADERS allowlist (content-type/accept/accept-language/accept-encoding only)
